Station Name,Station Coordinates,Bikes Available,Name,Address,Coordinates,Rating
Chilco & Barclay,"(49.291909, -123.140713)",4,Blue Edge Cafe,"510 Nicola St, Vancouver BC V6G 3J7","(49.290839, -123.127481)",5.5
St George & Broadway,"(49.262321, -123.09306)",6,Lucky's Doughnuts,"2902 Main St, Vancouver BC V5T 3G3","(49.259164, -123.100851)",No rating provided
Britannia Parking Lot,"(49.275882, -123.071865)",8,Roaster Central,"1015 Clark Dr, Vancouver BC V5L 3K1","(49.275687, -123.077918)",No rating provided
Morton & Denman,"(49.28803, -123.142135)",8,Dudoc Vancouver,"1445 Georgia St W (btwn Nicola & Broughton), Vancouver BC V6G 2T3","(49.28964, -123.128677)",No rating provided
Thornton & National,"(49.273777, -123.092723)",7,The Garden Strathcona,"868 Hastings St E, Vancouver BC V6A 1R6","(49.280813, -123.085817)",No rating provided
Burrard & 14th,"(49.259469, -123.145718)",4,Ooh la la Cappuccino Bar Ltd,"1333 Broadway W (Hemlock), Vancouver BC V6H 4C1","(49.263687, -123.134407)",No rating provided
Olympic Village Station,"(49.266314, -123.116011)",11,Jammer Cafe Motors Inc,"350 8th Ave W, Vancouver BC","(49.263663, -123.112021)",No rating provided
8th & Macdonald,"(49.264928, -123.168068)",3,C'est Mon Cafe,"3420W Broadway W, Vancouver BC V6R 2B3","(49.264138, -123.18018)",No rating provided
30th & Ontario,"(49.243375, -123.104978)",9,Hayan Mug,"3702 Main St, Vancouver BC V5V 3N7","(49.251867, -123.100717)",No rating provided
Lakewood & Triumph,"(49.283968, -123.061615)",6,The Narcissus,"1701 Powell St (Commercial Drive), Vancouver BC V5L 5C9","(49.284167, -123.070117)",No rating provided
13th & Cambie,"(49.259579, -123.114769)",1,Jammer Cafe Motors Inc,"350 8th Ave W, Vancouver BC","(49.263663, -123.112021)",No rating provided
Arbutus & Nanton,"(49.247854, -123.153422)",13,Starbucks,"2101 Lahb Ave (at Arbutus Street), Vancouver BC V6L 0B9","(49.249141, -123.155056)",6.8
14th & Fraser,"(49.257939, -123.089531)",2,Lucky's Doughnuts,"2902 Main St, Vancouver BC V5T 3G3","(49.259164, -123.100851)",No rating provided
15th & Victoria (Trout Lake),"(49.256857, -123.065646)",13,Blenz Coffee,"2470 Commercial Dr (at E Broadway), Vancouver BC V5N 4B9","(49.262614, -123.069508)",4.9
Robson & Hornby,"(49.282758, -123.122092)",23,Cultured Coffee & Tea,"678 Dunsmuir St (in Granville SkyTrain Station), Vancouver BC V6B 1N3","(49.283427, -123.116383)",No rating provided
Cardero & Robson,"(49.289255, -123.132677)",7,Blenz Coffee Robson - Bute,"1201 Robson St, Vancouver BC V6E 1C2","(49.286212, -123.126923)",No rating provided
1st & Scotia,"(49.2685027, -123.0975014)",10,Roasting Time,"2818 Main St, Vancouver BC V5T 0C1","(49.259916, -123.100752)",No rating provided
10th & Fraser,"(49.26151, -123.089413)",4,Lucky's Doughnuts,"2902 Main St, Vancouver BC V5T 3G3","(49.259164, -123.100851)",No rating provided
Ontario & 5th,"(49.266724, -123.104824)",9,Lucky's Doughnuts,"2902 Main St, Vancouver BC V5T 3G3","(49.259164, -123.100851)",No rating provided
Heather & 16th,"(49.256845, -123.120071)",7,City One Cafe,"954 King Edward Ave W, Vancouver BC V5Z 2E2","(49.249021, -123.126262)",No rating provided
Richards & Smithe,"(49.279259, -123.119145)",6,Analog Coffee,"338 Helmcken St (Hamilton), Vancouver BC V6B 6C5","(49.275691, -123.121158)",No rating provided
Robson & Beatty,"(49.277773, -123.114237)",18,Fuse Pan Asian Cafe,"181 Roundhouse Mews, Vancouver BC V6Z 2W3","(49.273493, -123.122349)",No rating provided
Maple Tree Square,"(49.283482, -123.103738)",16,Waves Coffee House,"211 Robson St (at Cambie St), Vancouver BC V6B 0E7","(49.278423, -123.114982)",5.8
22nd & Main,"(49.25094, -123.101306)",3,Lucky's Doughnuts,"2902 Main St, Vancouver BC V5T 3G3","(49.259164, -123.100851)",No rating provided
Carrall & Seawall,"(49.276294, -123.106534)",13,Laura's Coffee Shop,"1945 Manitoba St (at 4th Ave.), Vancouver BC V5Y 3A1","(49.267528, -123.106835)",No rating provided
Charles & Woodland,"(49.2731, -123.0732)",10,Roaster Central,"1015 Clark Dr, Vancouver BC V5L 3K1","(49.275687, -123.077918)",No rating provided
1st & Manitoba,"(49.27023, -123.10651)",2,Jammer Cafe Motors Inc,"350 8th Ave W, Vancouver BC","(49.263663, -123.112021)",No rating provided
St Catherines & 7th,"(49.264466, -123.085183)",10,Tigers Drink House,"505E 15th Ave E (at St. George St), Vancouver BC V5T 4S4","(49.257457, -123.093325)",No rating provided
Triumph & Victoria,"(49.283986, -123.065264)",9,Coho Coffee,"1370 E Georgia St, Vancouver BC V5L 2A8","(49.278368, -123.075549)",No rating provided
18th & Main,"(49.254667, -123.101389)",7,Lucky's Doughnuts,"2902 Main St, Vancouver BC V5T 3G3","(49.259164, -123.100851)",No rating provided
St Catherines & 10th,"(49.261353, -123.085333)",2,Artisan Tea Bar,"3578 Fraser St, Vancouver BC V5V 4C6","(49.253083, -123.08979)",No rating provided
Nelson & Richards,"(49.277844, -123.120942)",10,Blenz Coffee,"603 Abbott St (at Keefer), Vancouver BC V6B 0J4","(49.27957, -123.107779)",5.6
Arbutus & 10th,"(49.262835, -123.152626)",0,Forty Ninth Parallel,"2152 4th Ave W, Vancouver BC V6K 1N6","(49.267985, -123.154157)",No rating provided
Comox & Denman,"(49.288444, -123.139203)",3,Blenz Coffee Robson - Bute,"1201 Robson St, Vancouver BC V6E 1C2","(49.286212, -123.126923)",No rating provided
Prince Edward & 14th,"(49.258352, -123.096337)",7,Cultivate Tea,"2280 Main St, Vancouver BC","(49.25248, -123.101174)",No rating provided
Alexander & Railway,"(49.283992, -123.091206)",9,Mr. Coffee,"39 Pender St E (btwn Carrall & Columbia St), Vancouver BC V6A 1S9","(49.280346, -123.103545)",No rating provided
Chilco & Beach,"(49.28972, -123.144028)",5,Daily Grind Cafe,"1500 Georgia St W (Nicola), Vancouver BC V6G 2Z6","(49.290052, -123.130334)",No rating provided
Richards & Cordova,"(49.284554, -123.111031)",9,Cafe Taza,"355 Burrard St (Hastings), Vancouver BC V6C 2G6","(49.287524, -123.116813)",No rating provided
Agronomy & East Mall,"(49.2617360647494, -123.246483808594)",9,Ike's Café,"1961 East Mall, Vancouver BC V6T 1Z1","(49.267575, -123.252382)",5.0
Orchard Commons,"(49.259999, -123.250902)",1,Ike's Café,"1961 East Mall, Vancouver BC V6T 1Z1","(49.267575, -123.252382)",5.0
Yew & Broadway,"(49.263523, -123.155267)",3,Forty Ninth Parallel,"2152 4th Ave W, Vancouver BC V6K 1N6","(49.267985, -123.154157)",No rating provided
Woodland & 10th,"(49.261263, -123.073707)",2,Chance Cafe,"3424 Commercial St (Victoria Diversion), Vancouver BC V5N 4E9","(49.253925, -123.067799)",No rating provided
Ontario & 16th,"(49.256825, -123.105234)",2,Jammer Cafe Motors Inc,"350 8th Ave W, Vancouver BC","(49.263663, -123.112021)",No rating provided
14th & Alder,"(49.258819, -123.131317)",4,Blenz Coffee,"695 Broadway W (at Heather St.), Vancouver BC V5Z 1G6","(49.263448, -123.119627)",5.3
Chestnut & McNicoll,"(49.275938, -123.145939)",4,Tru Cafe,"1500 2nd Ave W, Vancouver BC V6J 1H2","(49.269427, -123.138548)",No rating provided
Dunbar & 6th,"(49.266636, -123.183661)",12,Artistry Coffee Shop,"2959 4th Ave W, Vancouver BC V6K 1R3","(49.268615, -123.170754)",No rating provided
Stanley Park - Vancouver Aquarium,"(49.299292, -123.130281)",5,Blue Edge Cafe,"510 Nicola St, Vancouver BC V6G 3J7","(49.290839, -123.127481)",5.5
Yaletown-Roundhouse Station,"(49.274566, -123.121817)",9,Starbucks,"720 Granville St, Vancouver BC V6Z 1E4","(49.282058, -123.118456)",No rating provided
Smithe & Burrard,"(49.282503, -123.124697)",7,Trees Cheesecake & Organic Coffee,"1160 Davie St, Vancouver BC V6E 1N1","(49.281153, -123.132656)",No rating provided
Abbott & Cordova,"(49.282759, -123.106955)",11,Blenz Coffee,"495 Georgia St W (at Richards St), Vancouver BC V6B 1B3","(49.281285, -123.115794)",5.4
