Location,Latitude,Longitude,Free Bikes,Coordinates,Station Name,Station Coordinates,Bikes Available,Name,Address,Rating
Chilco & Barclay,49.291909,-123.140713,13.0,"(49.291909, -123.140713)",,,,,,
St George & Broadway,49.262321,-123.09306,0.0,"(49.262321, -123.09306)",,,,,,
Britannia Parking Lot,49.275882,-123.071865,0.0,"(49.275882, -123.071865)",,,,,,
Morton & Denman,49.28803,-123.142135,16.0,"(49.28803, -123.142135)",,,,,,
Thornton & National,49.273777,-123.092723,14.0,"(49.273777, -123.092723)",,,,,,
Burrard & 14th,49.259469,-123.145718,1.0,"(49.259469, -123.145718)",,,,,,
Olympic Village Station,49.266314,-123.116011,11.0,"(49.266314, -123.116011)",,,,,,
8th & Macdonald,49.264928,-123.168068,4.0,"(49.264928, -123.168068)",,,,,,
30th & Ontario,49.243375,-123.104978,3.0,"(49.243375, -123.104978)",,,,,,
Lakewood & Triumph,49.283968,-123.061615,3.0,"(49.283968, -123.061615)",,,,,,
13th & Cambie,49.259579,-123.114769,7.0,"(49.259579, -123.114769)",,,,,,
Arbutus & Nanton,49.247854,-123.153422,14.0,"(49.247854, -123.153422)",,,,,,
14th & Fraser,49.257939,-123.089531,3.0,"(49.257939, -123.089531)",,,,,,
15th & Victoria (Trout Lake),49.256857,-123.065646,5.0,"(49.256857, -123.065646)",,,,,,
Robson & Hornby,49.282758,-123.122092,11.0,"(49.282758, -123.122092)",,,,,,
Cardero & Robson,49.289255,-123.132677,13.0,"(49.289255, -123.132677)",,,,,,
1st & Scotia,49.2685027,-123.0975014,16.0,"(49.2685027, -123.0975014)",,,,,,
10th & Fraser,49.26151,-123.089413,2.0,"(49.26151, -123.089413)",,,,,,
Ontario & 5th,49.266724,-123.104824,13.0,"(49.266724, -123.104824)",,,,,,
Heather & 16th,49.256845,-123.120071,1.0,"(49.256845, -123.120071)",,,,,,
Richards & Smithe,49.279259,-123.119145,1.0,"(49.279259, -123.119145)",,,,,,
Robson & Beatty,49.277773,-123.114237,16.0,"(49.277773, -123.114237)",,,,,,
Maple Tree Square,49.283482,-123.103738,7.0,"(49.283482, -123.103738)",,,,,,
22nd & Main,49.25094,-123.101306,1.0,"(49.25094, -123.101306)",,,,,,
Carrall & Seawall,49.276294,-123.106534,4.0,"(49.276294, -123.106534)",,,,,,
Charles & Woodland,49.2731,-123.0732,1.0,"(49.2731, -123.0732)",,,,,,
1st & Manitoba,49.27023,-123.10651,17.0,"(49.27023, -123.10651)",,,,,,
St Catherines & 7th,49.264466,-123.085183,17.0,"(49.264466, -123.085183)",,,,,,
Triumph & Victoria,49.283986,-123.065264,2.0,"(49.283986, -123.065264)",,,,,,
18th & Main,49.254667,-123.101389,2.0,"(49.254667, -123.101389)",,,,,,
St Catherines & 10th,49.261353,-123.085333,0.0,"(49.261353, -123.085333)",,,,,,
Nelson & Richards,49.277844,-123.120942,1.0,"(49.277844, -123.120942)",,,,,,
Arbutus & 10th,49.262835,-123.152626,6.0,"(49.262835, -123.152626)",,,,,,
Comox & Denman,49.288444,-123.139203,11.0,"(49.288444, -123.139203)",,,,,,
Prince Edward & 14th,49.258352,-123.096337,1.0,"(49.258352, -123.096337)",,,,,,
Alexander & Railway,49.283992,-123.091206,7.0,"(49.283992, -123.091206)",,,,,,
Chilco & Beach,49.28972,-123.144028,10.0,"(49.28972, -123.144028)",,,,,,
