Station Name,Station Coordinates,Bikes Available,Name,Address,Coordinates,Rating
Chilco & Barclay,"(49.291909, -123.140713)",13,Blue Edge Cafe,"510 Nicola St, Vancouver BC V6G 3J7","(49.290839, -123.127481)",5.5
St George & Broadway,"(49.262321, -123.09306)",0,Lucky's Doughnuts,"2902 Main St, Vancouver BC V5T 3G3","(49.259164, -123.100851)",No rating provided
Britannia Parking Lot,"(49.275882, -123.071865)",0,Turk's Coffee Exchange,"1276 Commercial Dr, Vancouver BC V5L 3X4","(49.273221, -123.069352)",No rating provided
Morton & Denman,"(49.28803, -123.142135)",16,Dudoc Vancouver,"1445 Georgia St W (btwn Nicola & Broughton), Vancouver BC V6G 2T3","(49.28964, -123.128677)",No rating provided
Thornton & National,"(49.273777, -123.092723)",14,The Garden Strathcona,"868 Hastings St E, Vancouver BC V6A 1R6","(49.280813, -123.085817)",No rating provided
Burrard & 14th,"(49.259469, -123.145718)",1,Ooh la la Cappuccino Bar Ltd,"1333 Broadway W (Hemlock), Vancouver BC V6H 4C1","(49.263687, -123.134407)",No rating provided
Olympic Village Station,"(49.266314, -123.116011)",11,Jammer Cafe Motors Inc,"350 8th Ave W, Vancouver BC","(49.263663, -123.112021)",No rating provided
8th & Macdonald,"(49.264928, -123.168068)",4,C'est Mon Cafe,"3420W Broadway W, Vancouver BC V6R 2B3","(49.264138, -123.18018)",No rating provided
30th & Ontario,"(49.243375, -123.104978)",3,Hayan Mug,"3702 Main St, Vancouver BC V5V 3N7","(49.251867, -123.100717)",No rating provided
Lakewood & Triumph,"(49.283968, -123.061615)",3,The Narcissus,"1701 Powell St (Commercial Drive), Vancouver BC V5L 5C9","(49.284167, -123.070117)",No rating provided
13th & Cambie,"(49.259579, -123.114769)",7,Jammer Cafe Motors Inc,"350 8th Ave W, Vancouver BC","(49.263663, -123.112021)",No rating provided
Arbutus & Nanton,"(49.247854, -123.153422)",14,Starbucks,"2101 Lahb Ave (at Arbutus Street), Vancouver BC V6L 0B9","(49.249141, -123.155056)",6.8
14th & Fraser,"(49.257939, -123.089531)",3,Lucky's Doughnuts,"2902 Main St, Vancouver BC V5T 3G3","(49.259164, -123.100851)",No rating provided
